id,keywords,year,_material,_height,_width,_time,_description
ARKM.2005-02-200-211-02,"Léonie Geisendorf, porträtt",1962,foto,unknown,unknown,1962,unknown
ARKM.2005-02-200-211-02,Katolska kyrkan (Katthavet),1962,foto,unknown,unknown,1962,unknown
ARKM.1996-232-13,Fasadskiss,1962,Modell,155,122,1962,unknown
ARKM.1996-232-10,Fasadskiss,1962,Modell,157,110,1962,unknown
ARKM.1996-232-12,Fasadskiss,1962,Modell,166,110,1962,unknown
ARKM.1996-232-14,Fasadskiss,1962,Modell,124,82,1962,unknown
ARKM.1996-232-15,Fasadskiss,1962,Modell,156,110,1962,unknown
ARKM.1996-232-11,Fasadskiss,1962,Modell,155,117,1962,unknown
ARKM.2005-202-22-01,Fasadskiss,1962,Modell,157,123,1962,unknown
ARKM.2005-202-22-02,Fasadskiss,1962,Modell,156,120,1962,unknown
ARKM.2005-202-22-03,Fasadskiss,1962,Modell,155,123,1962,unknown
ARKM.2005-202-24-03,Fasadskiss,1962,Modell,72,200,1962,unknown
ARKM.2005-202-24-04,Fasadskiss,1962,Modell,60,215,1962,unknown
ARKM.2005-202-24-02,Fasadskiss,1962,Modell,70,235,1962,unknown
ARKM.2005-202-24-01,Fasadskiss,1962,Modell,67,235,1962,unknown
ARKM.2005-202-24-06,Fasadskiss,1962,Modell,128,235,1962,unknown
ARKM.2005-202-32,Katolska Kyrkan ,1962,Modell,200,235,1962,unknown
ARKM.2005-202-33,Nya Katolska kyrkan,1962,Modell,500,235,1962,unknown
ARKM.2005-202-01,Nya Katolska kyrkan,1962,Gips,320,235,1962,unknown
ARKM.2005-202-34,Nya Katolska Kyrkan,1962,Gips,320,235,1962,unknown
ARKM.2005-202-34,Katolska kyrkan,1962,Gips,320,235,1962,unknown
ARKM.2005-202-35,Den första modellen,1963,Modell,300,70,1963,unknown
ARKM.2005-02-03-56-01,Fasadskiss,1963,Transparent papper,570,523,1963,Både fett och hård blyerts.
ARKM.2005-02-200-011-001,Fasadskiss,1977,Papper,196,105,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-003,Stödbrev ,1977,Vykort,148,103,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-002,Stödbrev,1977,Papper,147,105,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-004a,Stödbrev,1977,Papper,134,180,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-004b,Stödbrev,1977,Papper,146,95,1977,Kuvert med frimärke på med skrift
ARKM.2005-02-200-219-005a,Stödbrev,1977,Papper,161,114,1977,Kuvert med frimärke på med skrift
"
ARKM.2005-02-200-219-005b",Stödbrev,1977,Papper,161,114,1977,Kuvert med frimärke på med skrift
ARKM.2005-02-200-219-006,Stödbrev,1977,Papper,205,100,1977,Kuvert med frimärke på med skrift
ARKM.2005-02-200-219-007a,Stödbrev,1977,Papper,160,114,1977,Kuvert med frimärke på med skrift.
ARKM.2005-02-200-219-007b,Stödbrev,1977,Papper,160,114,1977,Kuvert med frimärke på med skrift.
ARKM.2005-02-200-219-008a,Stödbrev,1977,Papper,147,104,1977,Lite tjock papper
"
ARKM.2005-02-200-219-008b",Stödbrev,1977,Papper,147,104,1977,Lite tjock papper
ARKM.2005-02-200-219-009,Stödbrev,1977,Papper,164,115,1977,"OBS!
I omslaget finns två föremål ett kuvert och ett brev men brevet finns ej i listan! 

Kuvert med frimärke på med skrift."
ARKM.2005-02-200-219-010,Stödbrev,1977,Papper,148,105,1977,"Svart stämpel ""Sven Markelius"" och påskrift ""P"" i röd färpenna"
ARKM.2005-02-165-01,Anteckningar,1977,Papper,210,296,1977,"Anteckningar på kopia med filtpenna, kulspetspenna och blyerts.
"
ARKM.2005-02-165-01,Anteckningar,1977,Papper,210,296,1977,"Anteckningar på kopia med filtpenna, kulspetspenna och blyerts.
"
ARKM.1996-32-200-17-001,Brev,1977,Papper,210,296,1977,"kopia av maskinskrift och handskrift. Brev från Lola till Birgitte Trotzig, skribent och kritiker bl a på Aftonbladet. Lola vädjar om hjälp att få bygga kyrkan. "
ARKM.2005-102,Brev,1977,foto,178,243,1977,kopia av maskinskrift och handskrift
ARKM.2005-02-087-01,Brev,1977,Papper,210,295,1977,kopia av maskinskrift och handskrift
ARKM.2005-02-211-01a,Brev,1962,Papper,210,296,1962,kopia av maskinskrift och handskrift
ARKM.2005-102b,Vernissagebild,1976,foto,108,85,1976,kopia av maskinskrift och handskrift
ARKM.2005-102c,Vernissagebild,1976,foto,108,85,1976,kopia av maskinskrift och handskrift
ARKM.2005-102d,Vernissagebild,1976,foto,240,182,1976,kopia av maskinskrift och handskrift
ARKM.2005-102e,Vernissagebild,1976,foto,230,175,1976,kopia av maskinskrift och handskrift
ARKM.2005-102f,Vernissagebild,1976,foto,170,123,1976,kopia av maskinskrift och handskrift
ARKM.2005-102g,Vernissagebild,1976,foto,240,320,1976,kopia av maskinskrift och handskrift
ARKM.2005-102h,Vernissagebild,1976,foto,400,320,1976,kopia av maskinskrift och handskrift
ARKM.2005-02-164-02,Skissblock,1962,Skissbok,220,550,1962,"kopia av maskinskrift och handskrift. Skissblock. Motiv: San Carlo alle quattro fontane i Rom.
Finns med som diabild döpta till Katthavet."
ARKM.2005-02-200-230-001,Krokiblock,1962,Skissblock,274,221,1962,"Spiralblock ""Ritblock med glättat papper"". Kraftig hård bakkartong och mjuk framsida."
ARKM.2005-02-200-217,Wandas pärm,1962,Ringpärm,400,300,1962,"Spiralblock ""Ritblock med glättat papper"". Kraftig hård bakkartong och mjuk framsida. Wandas ovärdeliga pärm. Uppslagen så att insidan av pärmen syns."
ARKM.2005-02-200-165-001,Katolska Kyrkan ,1962,Häfte,150,211,1962,Mycket glatt kalenderat papper. Häftat med klamrar.
ARKM.2005-02-200-165-001,Arikel,1962,Tidningsurklipp,148,325,1962,Mycket glatt kalenderat papper. Häftat med klamrar.
ARKM.2005-02-200-165-001,Arikel,1962,Tidningspapper på papper,210,296,1962,Två uppklistrade tidningsurklipp. Notiser i kulspetspenna
ARKM.2005-02-200-211-001,Brev,1962,Papper,148,210,1962,Maskinskrift på brevpapper med signatur i reservoarpenna. Brev gällande klagomål på ljud nattetid. Från Yngve Schartaus Advokatbyrå genom Sigurd Waldenström
ARKM.2005-02-200-211-001,Anteckningar,1962,Papper,297,210,1962,Röd filtpenna på tunt papper
ARKM-2005-02-03-47-001,"Omarbetat förslag.
Tvärsektion.",1962,Transparent papper,590,419,1962,Röd filtpenna på tunt papper
ARKM-2005-02-03-35-001,Fasadskiss,1962,Transparent papper,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-102-,Denna eller bild med hela kontoret,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-102-,Kungsträdgårdsgatan.,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-102-,Platsinventering,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-102-,Platsinventering,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-102-,Platsinventering,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-102-,Porträtt från Wandas student.,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-02-03-,Axonometri,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-02-03-,Katolska kyrkan,1962,Foto,361,330,1962,Röd filtpenna på tunt papper
ARKM.2005-02-03-20-03,Fasadskiss,1962,Papper,290,207,1962,Röd filtpenna på tunt papper
ARKM.2005-02-03-20-01,Fasadskiss,1962,Papper,220,206,1962,Röd filtpenna på tunt papper
"ARKM.2005-02-03-20-02
",Fasadskiss,1962,Papper,456,229,1962,Röd filtpenna på tunt papper
ARKM.2005-02-03-20-04,Fasadstudie,1968,Papper,842,596,1968,"Stämpel i nedre höger hörn.
Filtpennan och färgpennan har målats på kopian. 
Ett litet bit papper klistrat över teckningen som ett omslag i mitten."
ARKM.2005-02-03-27-02,Fasadskiss,1968,Transparent papper,400,310,1968,"Stämpel i nedre höger hörn.
Filtpennan och färgpennan har målats på kopian. 
Ett litet bit papper klistrat över teckningen som ett omslag i mitten."
ARKM.2005-02-03-27-01,Fasadskiss,1968,Transparent papper,401,303,1968,"Stämpel i nedre höger hörn.
Filtpennan och färgpennan har målats på kopian. 
Ett litet bit papper klistrat över teckningen som ett omslag i mitten."
"ARKM.2005-02-03-27-03
",Fasadskiss,1968,Transparent papper,411,295,1968,"Stämpel i nedre höger hörn.
Filtpennan och färgpennan har målats på kopian. 
Ett litet bit papper klistrat över teckningen som ett omslag i mitten."
ARKM.2005-02-03-39-01,Fasadskiss,1968,Transparent papper,295,332,1968,"Stämpel i nedre höger hörn.
Filtpennan och färgpennan har målats på kopian. 
Ett litet bit papper klistrat över teckningen som ett omslag i mitten."
ARKM.1996-32-067-08,Fasadskiss,1968,Transparent papper,438,229,1968,Hård utsmetad blyerts
ARKM.1996-32-067-11,Fasadskiss,1968,Transparent papper,443,230,1968,Utsmetad blyerts
ARKM.1996-32-067-09,Fasadskiss,1968,Transparent papper,525,230,1968,Utsmetad blyerts
ARKM.1996-32-067-13,Fasadskiss,1968,Transparent papper,448,316,1968,Hård utsmetad blyerts.
ARKM.1996-32-067-04,Fasadskiss,1968,Transparent papper,345,230,1968,Utsmetad blyerts.
ARKM.1996-32-067-07,Fasadskiss,1968,Transparent papper,225,329,1968,Hård utsmetad blyerts.
ARKM.1996-32-067-06,Fasadskiss,1968,Transparent papper,320,230,1968,Hård utsmetad blyerts.
ARKM.1996-32-067-01,Fasadskiss,1968,Transparent papper,398,229,1968,Lätt utsmetad blyerts.
